批次号,生产日期,产品编号,生产线(反应釜),投料量(kg),预聚温度实测(℃),预聚时间(h),最高温度(℃),搅拌转速(rpm),真空度(MPa),中控NCO%,成品粘度(mPa·s),成品固含量(%),外观,收率(%),操作员,判定,备注
HD-W102-2502-11,2025-02-18,HD-W102,R101,3846,80.7,2.5,84.1,100,-0.096,2.77,129984,33.5,无色透明,98.3,孙丽,合格,
HD-W103-2509-11,2025-09-08,HD-W103,R106,3641,81.5,2.9,88.0,100,-0.091,4.36,131491,33.1,无色透明,98.9,郑凯,让步接收,轻微偏离，技术评审后放行
HD-G201-2507-04,2025-07-31,HD-G201,R102,3152,77.9,2.5,81.2,60,-0.091,4.98,79355,32.8,微黄透明,99.5,郑凯,不合格,粘度超限，转问题案例跟踪
HD-S302-2508-03,2025-08-05,HD-S302,R108,3526,76.0,2.8,83.4,100,-0.094,5.42,242,37.7,微黄透明,99.8,李强,合格,
HD-T501-2506-05,2025-06-16,HD-T501,R108,1532,81.1,2.5,85.4,60,-0.098,,,99.7,微黄透明,99.7,孙丽,合格,
HD-G203-2504-12,2025-04-06,HD-G203,R101,4791,75.0,2.0,82.3,100,-0.097,3.16,94746,32.3,微黄透明,98.9,周涛,合格,
HD-W103-2605-04,2026-05-23,HD-W103,R101,4251,79.6,2.4,82.5,80,-0.09,3.96,121048,32.7,无色透明,97.7,周涛,合格,
HD-G202-2601-05,2026-01-16,HD-G202,R106,4992,80.7,2.5,84.6,60,-0.093,3.41,80592,30.9,无色透明,97.7,吴静,合格,
HD-N401-2510-11,2025-10-27,HD-N401,R102,2893,83.8,2.4,89.8,80,-0.095,5.62,2096,100.6,微黄透明,99.6,陈立,合格,
HD-W106-2506-04,2025-06-10,HD-W106,R101,4531,74.8,2.7,82.0,80,-0.094,3.22,116779,30.8,微黄透明,99.2,郑凯,合格,
HD-G206-2410-04,2024-10-21,HD-G206,R106,4276,82.4,2.2,86.0,80,-0.097,2.49,90000,32.7,无色透明,98.1,李强,合格,
HD-T504-2603-11,2026-03-03,HD-T504,R106,2492,77.3,2.1,82.9,60,-0.094,,,99.4,无色透明,98.1,吴静,合格,
HD-N402-2507-02,2025-07-18,HD-N402,R101,2006,77.7,2.4,81.3,60,-0.097,4.93,5307,100.4,微黄透明,98.1,李强,合格,
HD-G206-2604-09,2026-04-01,HD-G206,R105,4286,77.9,2.9,86.0,100,-0.098,3.04,105982,32.9,微黄透明,97.7,孙丽,合格,
HD-G205-2607-07,2026-07-18,HD-G205,R103,4490,78.1,2.2,80.6,60,-0.093,4.33,91240,38.9,无色透明,98.9,赵敏,合格,
HD-W102-2506-09,2025-06-03,HD-W102,R106,3936,77.5,2.2,81.5,80,-0.092,3.14,124666,33.5,微黄透明,97.6,周涛,合格,
HD-G202-2502-08,2025-02-05,HD-G202,R101,4622,75.4,2.6,83.1,60,-0.096,5.58,86061,31.4,无色透明,99.8,郭燕,合格,
HD-W103-2505-04,2025-05-29,HD-W103,R102,3441,75.6,2.7,85.2,80,-0.092,5.1,122644,33.2,无色透明,99.6,郭燕,合格,
HD-S301-2501-02,2025-01-04,HD-S301,R106,3347,75.4,2.3,84.6,80,-0.094,3.48,151,32.3,微黄透明,97.6,林霞,合格,
HD-W107-2607-05,2026-07-22,HD-W107,R102,4632,81.8,2.4,90.5,100,-0.096,5.61,129016,31.8,微黄透明,97.9,李强,合格,
HD-S301-2511-07,2025-11-27,HD-S301,R102,2916,83.8,2.9,91.7,100,-0.092,4.87,160,32.0,无色透明,99.8,周涛,合格,
HD-W101-2608-08,2026-08-14,HD-W101,R105,4872,79.1,2.8,86.3,60,-0.094,5.71,139866,31.4,无色透明,98.6,郑凯,合格,
HD-S302-2508-06,2025-08-29,HD-S302,R105,2428,79.2,2.4,87.5,80,-0.097,4.17,248,37.6,微黄透明,99.2,孙丽,合格,
HD-W106-2502-09,2025-02-22,HD-W106,R101,4955,79.8,2.0,82.4,60,-0.094,4.29,119387,30.7,无色透明,99.1,周涛,合格,
HD-W104-2512-08,2025-12-13,HD-W104,R108,3205,76.0,2.6,83.7,100,-0.098,2.09,122412,33.9,微黄透明,98.2,何斌,合格,
HD-S304-2508-12,2025-08-13,HD-S304,R103,2052,77.0,2.9,86.9,100,-0.091,3.36,51,38.5,无色透明,99.3,李强,合格,
HD-G208-2503-07,2025-03-31,HD-G208,R101,3807,79.7,2.8,88.8,80,-0.092,2.92,93203,38.1,微黄透明,99.1,陈立,让步接收,轻微偏离，技术评审后放行
HD-T504-2509-03,2025-09-29,HD-T504,R108,1688,74.4,2.6,80.5,80,-0.09,,,100.6,无色透明,99.5,王芳,合格,
HD-S304-2502-09,2025-02-12,HD-S304,R108,2863,74.4,2.7,79.1,60,-0.09,3.6,48,38.4,微黄透明,98.1,何斌,合格,
HD-W103-2602-08,2026-02-05,HD-W103,R101,4036,75.9,2.7,80.7,80,-0.097,2.5,125880,32.7,无色透明,98.1,孙丽,合格,
HD-G203-2602-11,2026-02-24,HD-G203,R101,3600,77.0,2.4,84.5,60,-0.091,3.19,93947,31.6,无色透明,99.4,朱军,合格,
HD-W106-2411-04,2024-11-04,HD-W106,R103,3223,77.7,2.4,81.5,60,-0.094,2.24,107633,30.2,无色透明,99.0,赵敏,合格,
HD-S302-2503-04,2025-03-21,HD-S302,R102,3116,78.7,2.6,81.6,60,-0.094,3.9,275,37.6,微黄透明,97.7,吴静,合格,
HD-G208-2411-07,2024-11-21,HD-G208,R101,4126,81.0,2.3,87.7,100,-0.096,3.8,95800,37.7,微黄透明,98.9,林霞,合格,
HD-T503-2509-06,2025-09-07,HD-T503,R103,2356,75.4,2.5,80.1,80,-0.094,,,99.8,微黄透明,97.8,陈立,合格,
HD-W101-2507-09,2025-07-12,HD-W101,R108,3789,74.1,2.1,76.4,60,-0.097,5.29,135394,30.7,无色透明,97.6,朱军,合格,
HD-G201-2505-08,2025-05-10,HD-G201,R106,4489,79.7,2.1,87.6,60,-0.093,5.53,58658,31.5,微黄透明,98.1,吴静,合格,
HD-N401-2506-08,2025-06-01,HD-N401,R101,2635,74.8,2.1,78.7,100,-0.095,3.63,2196,99.9,微黄透明,99.4,朱军,让步接收,轻微偏离，技术评审后放行
HD-N401-2606-06,2026-06-27,HD-N401,R103,2125,75.4,2.0,84.7,100,-0.092,5.64,2748,100.2,无色透明,98.4,周涛,不合格,粘度超限，转问题案例跟踪
HD-T502-2505-08,2025-05-12,HD-T502,R108,1703,76.4,2.3,78.7,80,-0.095,,,99.1,微黄透明,99.1,陈立,合格,
HD-T503-2507-11,2025-07-01,HD-T503,R102,1839,79.2,2.2,87.6,60,-0.096,,,99.8,微黄透明,99.2,郭燕,合格,
HD-N401-2410-07,2024-10-31,HD-N401,R105,2636,76.7,2.7,86.5,100,-0.097,4.54,2748,99.8,微黄透明,99.4,陈立,不合格,粘度超限，转问题案例跟踪
HD-W102-2501-07,2025-01-21,HD-W102,R105,3536,81.5,2.5,86.6,100,-0.098,4.75,136438,34.3,微黄透明,98.3,李强,合格,
HD-N401-2604-09,2026-04-04,HD-N401,R105,2521,75.6,2.7,83.9,100,-0.095,4.03,2094,100.1,微黄透明,99.5,王芳,合格,
HD-W107-2505-02,2025-05-13,HD-W107,R103,4972,80.8,2.2,88.0,80,-0.095,3.8,132182,32.4,无色透明,98.5,赵敏,合格,
HD-W101-2605-05,2026-05-25,HD-W101,R105,4722,74.1,2.1,76.4,80,-0.093,5.47,149095,31.4,无色透明,97.6,李强,合格,
HD-T503-2509-11,2025-09-09,HD-T503,R106,2144,81.6,2.7,86.0,80,-0.091,,,100.3,微黄透明,98.9,何斌,合格,
HD-G205-2409-09,2024-09-06,HD-G205,R106,4505,77.1,2.8,83.9,100,-0.094,3.68,91659,39.1,无色透明,97.6,吴静,合格,
HD-W105-2605-01,2026-05-19,HD-W105,R103,3208,75.8,2.4,85.2,80,-0.098,5.81,125091,34.2,无色透明,99.5,李强,合格,
HD-G208-2511-09,2025-11-30,HD-G208,R103,4365,82.7,2.4,88.7,80,-0.098,4.18,95948,37.8,无色透明,99.7,周涛,合格,
HD-G208-2511-12,2025-11-18,HD-G208,R102,4867,75.1,2.8,82.0,60,-0.094,2.02,102138,37.7,微黄透明,98.8,吴静,合格,
HD-S301-2602-07,2026-02-04,HD-S301,R102,3353,80.8,2.9,85.5,100,-0.093,5.46,156,32.1,微黄透明,97.5,郭燕,合格,
HD-W103-2507-12,2025-07-26,HD-W103,R108,3438,82.1,2.5,85.2,80,-0.098,3.22,126889,32.8,无色透明,98.2,朱军,合格,
HD-N401-2607-11,2026-07-07,HD-N401,R106,2874,83.6,3.0,92.6,80,-0.095,4.86,2023,99.7,微黄透明,98.7,王芳,合格,
HD-G208-2501-04,2025-01-11,HD-G208,R102,3983,83.2,2.8,91.3,60,-0.092,5.88,94579,38.0,无色透明,98.5,郭燕,合格,
HD-T501-2509-04,2025-09-24,HD-T501,R103,2017,82.8,2.2,86.4,60,-0.094,,,99.7,微黄透明,99.4,李强,合格,
HD-W106-2607-07,2026-07-31,HD-W106,R101,4837,74.8,2.7,82.5,60,-0.096,2.35,119000,30.3,微黄透明,99.2,吴静,合格,
HD-N401-2501-09,2025-01-18,HD-N401,R105,2058,82.8,2.3,88.9,100,-0.092,4.42,2179,99.9,无色透明,98.3,周涛,合格,
HD-N401-2603-07,2026-03-15,HD-N401,R102,2988,81.9,2.9,89.1,80,-0.091,3.16,2330,99.1,无色透明,99.0,赵敏,合格,
HD-G203-2508-09,2025-08-12,HD-G203,R101,4358,82.9,2.9,90.9,80,-0.091,5.67,93454,31.6,微黄透明,97.7,郑凯,让步接收,轻微偏离，技术评审后放行
HD-G202-2508-05,2025-08-08,HD-G202,R108,4464,82.2,2.5,84.4,60,-0.094,5.98,74894,31.0,微黄透明,98.4,赵敏,合格,
HD-T502-2601-12,2026-01-29,HD-T502,R101,2097,74.0,2.2,77.6,100,-0.092,,,100.4,微黄透明,98.7,陈立,合格,
HD-W108-2608-08,2026-08-14,HD-W108,R102,4573,75.3,2.3,81.3,80,-0.097,3.82,142308,34.0,无色透明,98.3,赵敏,合格,
HD-T501-2505-04,2025-05-15,HD-T501,R103,2442,79.2,2.1,85.5,80,-0.093,,,99.7,无色透明,98.7,孙丽,合格,
HD-S304-2604-07,2026-04-12,HD-S304,R106,2707,81.2,2.4,86.2,60,-0.095,2.86,54,38.0,无色透明,97.7,郑凯,合格,
HD-T504-2601-02,2026-01-16,HD-T504,R102,1949,76.8,2.6,86.6,80,-0.094,,,100.5,微黄透明,99.2,王芳,合格,
HD-T504-2511-08,2025-11-11,HD-T504,R101,2493,82.4,2.7,87.6,60,-0.092,,,100.2,微黄透明,99.3,何斌,合格,
HD-G204-2607-10,2026-07-02,HD-G204,R102,4935,76.2,2.5,82.2,100,-0.096,4.73,72470,33.2,无色透明,99.6,吴静,让步接收,轻微偏离，技术评审后放行
HD-W106-2506-02,2025-06-12,HD-W106,R106,4480,77.5,2.9,79.9,60,-0.097,4.5,117582,30.1,微黄透明,99.7,林霞,合格,
HD-W104-2502-09,2025-02-09,HD-W104,R101,3371,81.6,2.7,85.9,80,-0.095,2.72,116066,34.1,微黄透明,98.9,郭燕,合格,
HD-N401-2503-02,2025-03-04,HD-N401,R108,2358,83.9,2.4,91.0,80,-0.091,5.62,2274,99.1,无色透明,99.3,王芳,合格,
HD-S304-2509-06,2025-09-22,HD-S304,R108,2011,74.6,2.5,79.2,100,-0.094,2.02,53,39.1,微黄透明,97.8,陈立,让步接收,轻微偏离，技术评审后放行
HD-T501-2504-03,2025-04-13,HD-T501,R103,1799,76.8,2.7,83.0,60,-0.092,,,100.2,无色透明,97.9,王芳,合格,
HD-T502-2605-02,2026-05-18,HD-T502,R103,1705,74.0,2.4,81.2,80,-0.091,,,99.6,无色透明,99.6,周涛,合格,
HD-W107-2410-10,2024-10-10,HD-W107,R102,4167,82.4,2.1,92.0,60,-0.094,4.53,135454,32.7,无色透明,98.6,朱军,合格,
HD-N402-2605-08,2026-05-09,HD-N402,R101,2605,74.3,2.6,84.2,100,-0.091,4.88,5095,99.6,微黄透明,99.8,郑凯,合格,
HD-T504-2502-06,2025-02-05,HD-T504,R101,2485,77.2,2.3,85.4,60,-0.095,,,99.3,无色透明,98.2,何斌,合格,
HD-G203-2510-11,2025-10-27,HD-G203,R102,4166,79.4,2.6,87.3,100,-0.093,2.69,98830,32.1,无色透明,97.8,孙丽,合格,
HD-G203-2507-07,2025-07-01,HD-G203,R106,4577,82.1,2.5,87.0,100,-0.092,4.83,92837,31.7,无色透明,98.5,朱军,合格,
HD-S304-2603-04,2026-03-20,HD-S304,R102,2765,82.6,2.3,87.1,100,-0.095,5.66,52,37.9,微黄透明,98.8,何斌,合格,
HD-G202-2505-03,2025-05-03,HD-G202,R101,4945,80.7,2.4,85.2,100,-0.094,2.08,81400,31.3,微黄透明,99.3,朱军,合格,
HD-W102-2603-11,2026-03-04,HD-W102,R108,4904,74.7,2.2,84.6,60,-0.092,5.05,134064,34.2,无色透明,97.9,周涛,合格,
HD-S302-2503-12,2025-03-29,HD-S302,R102,2036,83.9,2.3,90.1,80,-0.092,4.05,265,37.3,微黄透明,98.5,赵敏,合格,
HD-W105-2503-02,2025-03-07,HD-W105,R102,3098,79.1,2.4,87.9,80,-0.091,2.64,114078,34.0,无色透明,99.0,何斌,合格,
HD-W104-2511-10,2025-11-28,HD-W104,R103,4077,78.1,2.2,81.6,60,-0.091,4.15,129618,34.4,微黄透明,97.9,王芳,合格,
HD-T502-2503-10,2025-03-20,HD-T502,R108,1793,81.0,2.9,89.9,100,-0.092,,,100.9,无色透明,99.8,何斌,合格,
HD-G206-2602-02,2026-02-15,HD-G206,R105,3850,76.8,2.2,79.5,60,-0.098,5.47,114498,32.0,无色透明,98.9,孙丽,合格,
HD-W107-2505-10,2025-05-23,HD-W107,R102,4286,78.5,2.6,87.8,100,-0.094,3.84,140809,32.7,无色透明,98.7,朱军,合格,
HD-G201-2504-09,2025-04-01,HD-G201,R102,3773,75.2,2.1,80.2,80,-0.096,5.08,62827,32.5,微黄透明,98.2,郑凯,合格,
HD-W103-2604-03,2026-04-28,HD-W103,R102,3783,78.7,2.4,86.8,60,-0.095,5.13,119449,32.8,微黄透明,99.0,吴静,合格,
HD-W106-2505-06,2025-05-01,HD-W106,R103,3309,77.4,2.9,84.7,100,-0.093,4.3,114034,30.1,无色透明,98.3,朱军,合格,
HD-T503-2607-10,2026-07-25,HD-T503,R105,1870,76.1,2.4,85.5,60,-0.094,,,99.8,无色透明,98.0,吴静,合格,
HD-T504-2606-11,2026-06-08,HD-T504,R102,1830,81.7,2.6,90.7,100,-0.098,,,100.1,无色透明,98.3,朱军,合格,
HD-T503-2512-05,2025-12-27,HD-T503,R102,1530,74.3,2.4,78.7,80,-0.096,,,99.8,无色透明,99.4,吴静,合格,
HD-W108-2602-06,2026-02-19,HD-W108,R105,4838,81.5,2.3,85.4,100,-0.096,5.33,139168,34.2,无色透明,99.0,周涛,合格,
HD-W108-2608-11,2026-08-11,HD-W108,R106,3373,74.5,2.6,80.9,100,-0.092,4.43,127881,34.8,无色透明,99.0,林霞,合格,
HD-W107-2501-10,2025-01-27,HD-W107,R101,4870,80.6,2.7,90.1,60,-0.095,2.22,128522,32.9,无色透明,98.6,周涛,合格,
HD-W105-2412-02,2024-12-15,HD-W105,R102,3717,83.3,2.2,87.5,80,-0.094,4.28,111690,34.0,无色透明,98.3,赵敏,合格,
HD-S301-2512-02,2025-12-23,HD-S301,R102,2789,77.8,2.9,87.6,80,-0.094,4.08,155,31.1,无色透明,98.8,林霞,合格,
HD-G204-2601-11,2026-01-09,HD-G204,R106,3800,76.6,2.6,85.5,100,-0.095,3.22,65482,32.9,微黄透明,99.2,何斌,合格,
HD-W107-2508-06,2025-08-15,HD-W107,R103,4764,76.4,2.4,85.4,100,-0.097,3.38,134850,32.8,无色透明,99.0,吴静,合格,
HD-G208-2507-05,2025-07-22,HD-G208,R105,4327,81.9,2.9,86.5,60,-0.096,3.09,92559,37.7,微黄透明,98.9,周涛,让步接收,轻微偏离，技术评审后放行
HD-S304-2602-05,2026-02-21,HD-S304,R108,2871,82.5,2.2,89.2,80,-0.098,5.06,52,38.4,微黄透明,98.5,郭燕,合格,
HD-T501-2501-09,2025-01-25,HD-T501,R101,2367,82.6,2.4,85.8,80,-0.091,,,100.1,无色透明,98.4,王芳,合格,
HD-W102-2410-11,2024-10-07,HD-W102,R105,4725,74.9,2.1,83.0,60,-0.094,3.4,126967,33.5,微黄透明,97.5,朱军,合格,
HD-W107-2409-10,2024-09-16,HD-W107,R108,4504,83.9,2.1,91.6,80,-0.098,5.05,122257,33.1,微黄透明,98.9,吴静,合格,
HD-W106-2507-05,2025-07-16,HD-W106,R101,3439,82.7,2.3,88.2,60,-0.093,2.78,109226,30.1,无色透明,98.8,李强,合格,
HD-G204-2410-12,2024-10-04,HD-G204,R106,3346,82.6,2.6,85.1,100,-0.094,3.92,71272,32.3,微黄透明,97.9,陈立,合格,
HD-W104-2508-07,2025-08-30,HD-W104,R103,3672,75.2,3.0,82.8,100,-0.097,4.87,121895,33.5,无色透明,98.4,何斌,合格,
HD-T502-2502-01,2025-02-23,HD-T502,R106,1720,80.5,2.8,90.3,100,-0.096,,,99.6,微黄透明,99.1,赵敏,合格,
HD-N401-2509-09,2025-09-09,HD-N401,R103,2480,75.1,2.2,77.4,100,-0.095,2.66,2080,100.3,微黄透明,99.0,何斌,合格,
HD-W107-2507-01,2025-07-08,HD-W107,R108,4149,75.4,2.9,79.4,100,-0.095,3.55,134358,32.4,无色透明,99.6,赵敏,合格,
HD-W105-2505-12,2025-05-31,HD-W105,R105,3522,78.8,2.7,87.9,60,-0.094,3.93,103947,34.3,无色透明,97.8,林霞,合格,
HD-G202-2505-02,2025-05-16,HD-G202,R103,3020,79.5,2.6,89.3,60,-0.096,2.1,86538,31.2,无色透明,98.8,林霞,合格,
HD-N401-2502-05,2025-02-28,HD-N401,R106,2000,77.6,2.6,84.0,60,-0.092,4.04,2067,100.1,无色透明,99.7,王芳,合格,
HD-T503-2606-06,2026-06-04,HD-T503,R106,1631,81.0,2.7,84.7,80,-0.09,,,99.7,微黄透明,97.8,周涛,合格,
HD-S301-2605-12,2026-05-14,HD-S301,R108,2265,83.7,2.8,91.0,60,-0.095,3.82,162,31.6,微黄透明,98.9,陈立,合格,
HD-T504-2606-01,2026-06-05,HD-T504,R105,1574,79.0,2.7,86.9,100,-0.093,,,99.8,微黄透明,98.0,林霞,让步接收,轻微偏离，技术评审后放行
HD-G201-2501-11,2025-01-05,HD-G201,R101,4110,77.6,3.0,84.9,100,-0.096,2.83,67782,32.2,微黄透明,99.6,孙丽,合格,
HD-G204-2510-02,2025-10-26,HD-G204,R102,4000,75.3,2.2,84.5,60,-0.095,5.15,65838,32.6,微黄透明,98.7,郑凯,合格,
HD-S301-2510-06,2025-10-08,HD-S301,R101,2384,79.3,2.1,83.9,60,-0.094,3.94,158,31.9,无色透明,97.6,孙丽,合格,
HD-T501-2503-07,2025-03-15,HD-T501,R103,2157,80.5,2.8,85.9,60,-0.094,,,99.8,微黄透明,98.7,朱军,合格,
HD-W107-2410-11,2024-10-14,HD-W107,R101,4374,80.0,2.7,86.1,80,-0.096,2.7,139801,32.9,微黄透明,97.9,郑凯,合格,
