产品编号,核算期间,原料成本(元/kg),溶剂成本(元/kg),助剂成本(元/kg),能源(元/kg),人工(元/kg),制造费用(元/kg),包装(元/kg),合计成本(元/kg),当期售价(元/kg),毛利率%
HD-T504,2026Q2,13.23,0.0,0.61,1.14,0.56,1.28,0.35,17.17,19.83,13.4
HD-T505,2024Q4,20.76,0.0,0.59,1.04,0.6,1.27,0.35,24.61,33.07,25.6
HD-T505,2025Q1,21.98,0.0,0.64,1.01,0.61,1.27,0.35,25.85,32.93,21.5
HD-T505,2025Q2,21.25,0.0,0.62,1.14,0.59,1.34,0.35,25.3,31.94,20.8
HD-T505,2025Q3,19.7,0.0,0.61,1.01,0.58,1.29,0.35,23.53,32.08,26.7
HD-T505,2025Q4,20.64,0.0,0.56,1.07,0.59,1.31,0.35,24.52,34.66,29.3
HD-T505,2026Q1,21.46,0.0,0.58,1.11,0.59,1.32,0.35,25.41,32.23,21.2
HD-T505,2026Q2,22.28,0.0,0.63,1.1,0.6,1.27,0.35,26.23,33.4,21.5
HD-T506,2024Q4,49.35,0.0,0.66,1.13,0.61,1.28,0.35,53.38,72.47,26.3
HD-T506,2025Q1,53.22,0.0,0.63,1.08,0.6,1.26,0.35,57.14,73.21,22.0
HD-T506,2025Q2,50.75,0.0,0.62,1.1,0.59,1.33,0.35,54.74,77.61,29.5
HD-T506,2025Q3,46.2,0.0,0.63,0.99,0.61,1.29,0.35,50.08,71.65,30.1
HD-T506,2025Q4,49.57,0.0,0.64,1.16,0.61,1.29,0.35,53.62,75.36,28.8
HD-T506,2026Q1,52.41,0.0,0.63,1.12,0.61,1.33,0.35,56.45,77.15,26.8
HD-T506,2026Q2,51.53,0.0,0.57,1.08,0.58,1.26,0.35,55.36,79.12,30.0
