月份,原材料名称,类别,含税价(元/吨),环比%
2024-09,紫外线吸收剂UV-327,助剂,117870,
2024-10,紫外线吸收剂UV-327,助剂,116880,-0.8
2024-11,紫外线吸收剂UV-327,助剂,119530,2.3
2024-12,紫外线吸收剂UV-327,助剂,120810,1.1
2025-01,紫外线吸收剂UV-327,助剂,118840,-1.6
2025-02,紫外线吸收剂UV-327,助剂,115380,-2.9
2025-03,紫外线吸收剂UV-327,助剂,118600,2.8
2025-04,紫外线吸收剂UV-327,助剂,119130,0.4
2025-05,紫外线吸收剂UV-327,助剂,117360,-1.5
2025-06,紫外线吸收剂UV-327,助剂,113570,-3.2
2025-07,紫外线吸收剂UV-327,助剂,113540,-0.0
2025-08,紫外线吸收剂UV-327,助剂,113990,0.4
2025-09,紫外线吸收剂UV-327,助剂,115290,1.1
2025-10,紫外线吸收剂UV-327,助剂,120210,4.3
2025-11,紫外线吸收剂UV-327,助剂,121740,1.3
2025-12,紫外线吸收剂UV-327,助剂,123300,1.3
2026-01,紫外线吸收剂UV-327,助剂,128370,4.1
2026-02,紫外线吸收剂UV-327,助剂,123630,-3.7
2026-03,紫外线吸收剂UV-327,助剂,125920,1.9
2026-04,紫外线吸收剂UV-327,助剂,125770,-0.1
2026-05,紫外线吸收剂UV-327,助剂,125700,-0.1
2026-06,紫外线吸收剂UV-327,助剂,125560,-0.1
2026-07,紫外线吸收剂UV-327,助剂,129200,2.9
2026-08,紫外线吸收剂UV-327,助剂,131890,2.1
2024-09,碳化二亚胺抗水解剂,助剂,90860,
2024-10,碳化二亚胺抗水解剂,助剂,88630,-2.5
2024-11,碳化二亚胺抗水解剂,助剂,86770,-2.1
2024-12,碳化二亚胺抗水解剂,助剂,88100,1.5
2025-01,碳化二亚胺抗水解剂,助剂,87560,-0.6
2025-02,碳化二亚胺抗水解剂,助剂,87160,-0.5
2025-03,碳化二亚胺抗水解剂,助剂,91630,5.1
2025-04,碳化二亚胺抗水解剂,助剂,94260,2.9
2025-05,碳化二亚胺抗水解剂,助剂,95080,0.9
2025-06,碳化二亚胺抗水解剂,助剂,92670,-2.5
2025-07,碳化二亚胺抗水解剂,助剂,90000,-2.9
2025-08,碳化二亚胺抗水解剂,助剂,93820,4.3
2025-09,碳化二亚胺抗水解剂,助剂,92280,-1.6
2025-10,碳化二亚胺抗水解剂,助剂,90890,-1.5
2025-11,碳化二亚胺抗水解剂,助剂,91370,0.5
2025-12,碳化二亚胺抗水解剂,助剂,90580,-0.9
2026-01,碳化二亚胺抗水解剂,助剂,89290,-1.4
2026-02,碳化二亚胺抗水解剂,助剂,91270,2.2
2026-03,碳化二亚胺抗水解剂,助剂,91550,0.3
2026-04,碳化二亚胺抗水解剂,助剂,91720,0.2
2026-05,碳化二亚胺抗水解剂,助剂,91950,0.3
2026-06,碳化二亚胺抗水解剂,助剂,93880,2.1
2026-07,碳化二亚胺抗水解剂,助剂,96330,2.6
2026-08,碳化二亚胺抗水解剂,助剂,95810,-0.5
2024-09,DMPA,助剂,34950,
2024-10,DMPA,助剂,34460,-1.4
2024-11,DMPA,助剂,33530,-2.7
2024-12,DMPA,助剂,33810,0.8
2025-01,DMPA,助剂,32640,-3.5
2025-02,DMPA,助剂,31980,-2.0
2025-03,DMPA,助剂,31800,-0.6
2025-04,DMPA,助剂,32140,1.1
2025-05,DMPA,助剂,32790,2.0
2025-06,DMPA,助剂,32960,0.5
2025-07,DMPA,助剂,32320,-2.0
2025-08,DMPA,助剂,33210,2.8
2025-09,DMPA,助剂,32720,-1.5
2025-10,DMPA,助剂,31470,-3.8
2025-11,DMPA,助剂,31410,-0.2
2025-12,DMPA,助剂,30160,-4.0
2026-01,DMPA,助剂,31510,4.5
2026-02,DMPA,助剂,30400,-3.5
2026-03,DMPA,助剂,30410,0.0
2026-04,DMPA,助剂,30090,-1.1
2026-05,DMPA,助剂,31470,4.6
2026-06,DMPA,助剂,33010,4.9
2026-07,DMPA,助剂,33360,1.1
2026-08,DMPA,助剂,32610,-2.2
2024-09,三乙胺(TEA),助剂,10930,
2024-10,三乙胺(TEA),助剂,11830,8.1
2024-11,三乙胺(TEA),助剂,11860,0.3
2024-12,三乙胺(TEA),助剂,11550,-2.7
2025-01,三乙胺(TEA),助剂,11380,-1.4
2025-02,三乙胺(TEA),助剂,11640,2.2
2025-03,三乙胺(TEA),助剂,11510,-1.1
2025-04,三乙胺(TEA),助剂,11140,-3.2
2025-05,三乙胺(TEA),助剂,10760,-3.5
2025-06,三乙胺(TEA),助剂,11090,3.1
2025-07,三乙胺(TEA),助剂,11110,0.2
2025-08,三乙胺(TEA),助剂,10430,-6.1
2025-09,三乙胺(TEA),助剂,10190,-2.4
2025-10,三乙胺(TEA),助剂,9640,-5.4
2025-11,三乙胺(TEA),助剂,9750,1.1
2025-12,三乙胺(TEA),助剂,9950,2.1
2026-01,三乙胺(TEA),助剂,10120,1.7
2026-02,三乙胺(TEA),助剂,10300,1.7
2026-03,三乙胺(TEA),助剂,10180,-1.2
2026-04,三乙胺(TEA),助剂,10050,-1.2
2026-05,三乙胺(TEA),助剂,9970,-0.8
2026-06,三乙胺(TEA),助剂,10740,7.7
2026-07,三乙胺(TEA),助剂,10810,0.7
2026-08,三乙胺(TEA),助剂,10700,-1.1
