实验编号,实验日期,实验员,关联项目,目标产品,实验类型,多元醇类型,多元醇用量(份),异氰酸酯类型,NCO/OH摩尔比R,扩链剂类型,扩链剂用量(份),催化剂种类,催化剂用量(%),抗水解剂用量(%),亲水扩链剂DMPA用量(%),溶剂体系,目标固含量(%),预聚温度(℃),预聚时间(h),扩链温度(℃),搅拌转速(rpm),实测NCO%,实测固含量(%),实测粘度(mPa·s),外观,结论,是否达标,备注
EXP-2025-0086,2025-04-09,王芳,RD-2024-001,HD-W108,对比验证,聚碳酸酯二醇(PCDL-2000),100,MDI,1.035,HDO,4.0,SnOct(辛酸亚锡),0.024,1.0,,DMF,34.3,80,2.3,66,80,2.72,34.4,119016,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0087,2025-10-22,赵敏,RD-2024-001,HD-W108,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.067,BDO,7.2,TEDA(三乙烯二胺),0.017,1.5,,DMF,34.3,80,1.5,56,120,3.72,34.0,136746,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2024-0088,2024-10-16,朱军,RD-2024-001,HD-W108,对比验证,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.051,HDO,5.6,DBTDL(二月桂酸二丁基锡),0.015,0,,DMF,34.3,78,3.1,68,100,3.29,34.0,140971,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0089,2025-03-16,郑凯,RD-2024-001,HD-W108,放大确认,聚碳酸酯二醇(PCDL-2000),100,MDI,1.039,BDO,4.7,DBTDL(二月桂酸二丁基锡),0.051,0,,DMF,34.3,73,2.0,62,80,2.91,35.0,130145,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0090,2025-05-18,郑凯,RD-2024-001,HD-W108,配方筛选,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.063,EG,7.6,SnOct(辛酸亚锡),0.037,0,,DMF,34.3,77,2.5,59,120,3.5,35.3,124535,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0091,2025-05-14,周涛,RD-2024-001,HD-W108,工艺优化,聚碳酸酯二醇(PCDL-2000),100,MDI,1.061,EG,6.2,SnOct(辛酸亚锡),0.052,1.5,,DMF,34.3,81,2.7,66,100,3.51,34.5,154990,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0092,2025-08-31,孙丽,RD-2024-001,HD-W108,DOE,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.061,HDO,7.1,DBTDL(二月桂酸二丁基锡),0.072,0,,DMF,34.3,79,2.1,61,60,3.6,33.7,138071,微浊,配方满足目标窗口，建议放大,达标,
EXP-2026-0093,2026-04-01,何斌,RD-2024-001,HD-W108,放大确认,聚碳酸酯二醇(PCDL-2000),100,MDI,1.048,BDO,4.1,DBTDL(二月桂酸二丁基锡),0.06,1.5,,DMF,34.3,78,2.4,68,80,3.15,34.9,138026,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0094,2024-11-16,赵敏,RD-2024-001,HD-W108,工艺优化,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.054,BDO,6.4,SnOct(辛酸亚锡),0.021,1.5,,DMF,34.3,74,1.9,57,80,3.22,33.8,132055,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0095,2025-10-29,林霞,RD-2024-001,HD-W108,工艺优化,聚碳酸酯二醇(PCDL-2000),100,MDI,1.046,EG,3.8,SnOct(辛酸亚锡),0.046,0,,DMF,34.3,78,2.8,64,100,3.08,34.3,131425,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0096,2026-01-16,王芳,RD-2024-001,HD-W108,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.077,EG,6.3,DBTDL(二月桂酸二丁基锡),0.014,0.5,,DMF,34.3,73,2.0,72,80,4.16,34.1,139566,微浊,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0097,2025-09-27,孙丽,RD-2024-001,HD-W108,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.067,EG,6.5,SnOct(辛酸亚锡),0.036,1.0,,DMF,34.3,76,3.4,64,80,3.71,35.1,135689,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2024-0098,2024-10-05,吴静,RD-2024-001,HD-W108,放大确认,聚碳酸酯二醇(PCDL-2000),100,MDI,1.057,HDO,4.7,SnOct(辛酸亚锡),0.022,0,,DMF,34.3,85,2.7,61,80,3.27,34.3,147126,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0099,2025-02-27,陈立,RD-2024-001,HD-W108,工艺优化,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.064,BDO,7.2,TEDA(三乙烯二胺),0.015,0,,DMF,34.3,78,3.4,70,100,3.51,33.9,116054,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0100,2024-12-23,林霞,RD-2024-001,HD-W108,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.059,BDO,6.6,SnOct(辛酸亚锡),0.022,1.5,,DMF,34.3,83,3.5,69,80,3.35,34.7,113204,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2024-0101,2024-09-12,朱军,RD-2024-001,HD-W108,配方筛选,聚碳酸酯二醇(PCDL-2000),100,MDI,1.048,BDO,5.1,TEDA(三乙烯二胺),0.038,0,,DMF,34.3,75,2.7,63,120,3.07,34.7,137482,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0102,2025-05-16,郑凯,RD-2024-001,HD-W108,放大确认,聚碳酸酯二醇(PCDL-2000),100,H12MDI,1.024,HDO,2.6,DBTDL(二月桂酸二丁基锡),0.031,1.0,,DMF,34.3,75,3.1,72,80,2.29,34.2,129233,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0103,2026-06-10,朱军,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.01,BDO,1.1,TEDA(三乙烯二胺),0.054,1.5,,DMF,34.6,81,1.9,71,100,1.8,34.2,133286,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0104,2025-07-18,王芳,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.047,BDO,5.6,SnOct(辛酸亚锡),0.051,0,,DMF,34.6,84,2.8,61,120,2.96,34.9,133958,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2024-0105,2024-10-07,郑凯,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.048,BDO,5.4,TEDA(三乙烯二胺),0.069,1.5,,DMF,34.6,78,1.9,55,100,3.08,35.3,123575,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0106,2025-08-06,何斌,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.01,BDO,1.0,TEDA(三乙烯二胺),0.077,1.0,,DMF,34.6,84,1.6,72,100,1.8,34.7,136627,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0107,2025-06-29,陈立,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.039,EG,3.8,TEDA(三乙烯二胺),0.078,0.5,,DMF,34.6,78,1.7,56,120,2.76,34.9,125392,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0108,2026-05-19,孙丽,RD-2024-003,HD-W109,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.028,EG,3.3,DBTDL(二月桂酸二丁基锡),0.059,0.5,,DMF,34.6,74,2.2,63,60,2.38,33.9,127077,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0109,2026-03-29,何斌,RD-2024-003,HD-W109,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.037,BDO,4.2,DBTDL(二月桂酸二丁基锡),0.046,0.5,,DMF,34.6,76,1.9,64,120,2.72,34.3,148083,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0110,2025-12-06,赵敏,RD-2024-003,HD-W109,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.048,BDO,5.7,SnOct(辛酸亚锡),0.074,1.0,,DMF,34.6,74,2.8,68,100,3.11,33.4,141277,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0111,2025-09-23,朱军,RD-2024-003,HD-W109,对比验证,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.028,HDO,3.1,SnOct(辛酸亚锡),0.048,1.5,,DMF,34.6,82,3.3,72,100,2.41,33.9,134763,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0112,2025-07-14,王芳,RD-2024-003,HD-W109,配方筛选,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,HDI,1.025,BDO,2.1,DBTDL(二月桂酸二丁基锡),,0,,DMF,34.6,76,3.1,74,60,2.39,34.1,147311,无色透明,粘度异常，复测并排查水分,未达标,记录缺失(原始纸质记录污损)
EXP-2026-0113,2026-02-10,周涛,RD-2024-003,HD-W109,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.03,EG,2.7,SnOct(辛酸亚锡),0.016,1.0,,DMF,34.6,85,2.4,57,60,2.55,34.0,123913,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0114,2025-08-30,赵敏,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.013,BDO,1.2,SnOct(辛酸亚锡),0.025,0,,DMF,34.6,77,1.8,62,100,1.91,34.4,134920,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0115,2025-01-12,孙丽,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.025,BDO,2.1,DBTDL(二月桂酸二丁基锡),0.066,1.0,,DMF,34.6,75,3.0,67,120,2.36,34.1,134765,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0116,2026-03-02,朱军,RD-2024-003,HD-W109,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.032,BDO,3.8,DBTDL(二月桂酸二丁基锡),0.017,0,,DMF,34.6,77,3.4,64,120,2.56,33.8,143116,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0117,2025-12-23,王芳,RD-2024-003,HD-W109,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.01,HDO,0.9,DBTDL(二月桂酸二丁基锡),0.075,1.5,,DMF,34.6,78,2.7,59,120,1.8,33.6,136299,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0118,2025-11-09,王芳,RD-2024-003,HD-W109,放大确认,聚己内酯二醇(PCL-2000),100,MDI,1.026,EG,2.1,TEDA(三乙烯二胺),0.019,1.5,,DMF,34.6,74,3.3,59,60,2.46,34.4,134120,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0119,2025-03-20,王芳,RD-2024-003,HD-W109,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.017,BDO,1.9,DBTDL(二月桂酸二丁基锡),0.058,1.0,,DMF,34.6,82,2.8,60,80,2.05,34.4,134668,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0120,2026-01-10,朱军,RD-2024-003,HD-W109,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.01,EG,0.8,DBTDL(二月桂酸二丁基锡),0.049,1.5,,DMF,34.6,80,3.1,63,60,1.8,34.3,128206,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2026-0121,2026-03-16,何斌,RD-2024-005,HD-W110,DOE,聚己内酯二醇(PCL-2000),100,MDI,1.087,BDO,9.6,DBTDL(二月桂酸二丁基锡),0.048,1.5,,DMF,33.8,85,2.1,69,120,4.53,33.5,147841,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0122,2026-07-04,何斌,RD-2024-005,HD-W110,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.062,EG,5.3,SnOct(辛酸亚锡),0.027,1.5,,DMF,33.8,83,3.1,74,80,3.71,33.2,141183,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0123,2026-05-26,林霞,RD-2024-005,HD-W110,放大确认,聚己内酯二醇(PCL-2000),100,MDI,1.084,BDO,8.0,DBTDL(二月桂酸二丁基锡),0.075,1.0,,DMF,33.8,83,3.5,67,60,4.38,32.2,136796,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0124,2026-02-16,孙丽,RD-2024-005,HD-W110,对比验证,聚己内酯二醇(PCL-2000),100,MDI,1.053,BDO,6.3,DBTDL(二月桂酸二丁基锡),0.017,0.5,,DMF,33.8,74,3.3,59,120,3.16,33.4,130353,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0125,2025-05-19,陈立,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.042,HDO,5.0,TEDA(三乙烯二胺),0.072,0,,DMF,33.8,75,2.7,64,60,2.82,34.5,120182,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2024-0126,2024-12-02,吴静,RD-2024-005,HD-W110,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.092,EG,10.8,SnOct(辛酸亚锡),0.053,1.5,,DMF,33.8,79,2.3,58,120,4.84,34.5,129324,微黄透明,粘度异常，复测并排查水分,部分达标,
EXP-2024-0127,2024-11-15,王芳,RD-2024-005,HD-W110,放大确认,聚己内酯二醇(PCL-2000),100,MDI,1.034,BDO,2.7,SnOct(辛酸亚锡),0.078,0.5,,DMF,33.8,74,3.3,62,120,2.57,34.5,130949,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0128,2025-05-22,吴静,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.059,BDO,6.9,TEDA(三乙烯二胺),0.017,0,,DMF,33.8,78,2.7,59,80,3.55,33.3,137591,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0129,2026-05-16,王芳,RD-2024-005,HD-W110,放大确认,"聚己二酸-1,4-丁二醇酯二醇(PBA-2000)",100,MDI,1.071,EG,6.0,SnOct(辛酸亚锡),0.031,0,,DMF,33.8,73,1.8,63,100,3.96,34.2,138795,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0130,2025-10-09,王芳,RD-2024-005,HD-W110,放大确认,聚己内酯二醇(PCL-2000),100,MDI,1.018,HDO,2.1,DBTDL(二月桂酸二丁基锡),0.078,0,,DMF,33.8,80,3.0,72,60,2.11,34.8,125345,微浊,粘度异常，复测并排查水分,未达标,
EXP-2025-0131,2025-08-27,赵敏,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.039,BDO,3.7,TEDA(三乙烯二胺),0.07,1.5,,DMF,33.8,77,3.3,74,120,2.85,33.5,127227,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0132,2025-10-30,赵敏,RD-2024-005,HD-W110,放大确认,聚己内酯二醇(PCL-2000),100,MDI,1.043,BDO,3.6,DBTDL(二月桂酸二丁基锡),0.038,0,,DMF,33.8,76,2.7,60,100,2.98,33.7,124200,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2025-0133,2025-01-17,孙丽,RD-2024-005,HD-W110,工艺优化,聚己内酯二醇(PCL-2000),100,HDI,1.053,BDO,5.8,SnOct(辛酸亚锡),0.057,1.0,,DMF,33.8,80,2.6,70,100,3.23,33.7,131308,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0134,2025-02-02,王芳,RD-2024-005,HD-W110,对比验证,聚己内酯二醇(PCL-2000),100,MDI,1.05,HDO,4.5,TEDA(三乙烯二胺),0.063,1.0,,DMF,33.8,80,2.5,59,120,3.17,35.3,128913,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0135,2026-04-25,郭燕,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.106,BDO,10.3,SnOct(辛酸亚锡),0.037,0,,DMF,33.8,83,2.3,70,60,5.39,33.5,129871,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0136,2025-08-25,赵敏,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,HDI,1.028,HDO,3.3,DBTDL(二月桂酸二丁基锡),0.043,1.0,,DMF,33.8,76,2.2,73,100,2.48,33.3,136615,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0137,2025-05-17,赵敏,RD-2024-005,HD-W110,对比验证,聚己内酯二醇(PCL-2000),100,MDI,1.018,BDO,1.8,TEDA(三乙烯二胺),0.019,1.0,,DMF,33.8,79,1.5,75,60,2.09,33.4,131000,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0138,2025-03-23,朱军,RD-2024-005,HD-W110,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.074,BDO,6.0,TEDA(三乙烯二胺),0.056,0,,DMF,33.8,82,2.0,74,100,4.05,33.4,143348,无色透明,粘度异常，复测并排查水分,部分达标,
EXP-2024-0139,2024-11-19,周涛,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.063,BDO,6.8,SnOct(辛酸亚锡),0.023,1.5,,DMF,33.8,83,3.1,69,100,3.55,33.8,131341,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2026-0140,2026-06-16,周涛,RD-2024-005,HD-W110,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.056,BDO,5.5,TEDA(三乙烯二胺),0.031,1.5,,DMF,33.8,72,2.4,58,80,3.33,33.3,130406,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0141,2026-02-22,朱军,RD-2024-005,HD-W110,工艺优化,聚己内酯二醇(PCL-2000),100,MDI,1.054,BDO,5.4,DBTDL(二月桂酸二丁基锡),0.064,1.5,,DMF,33.8,83,1.9,74,100,3.19,35.2,114866,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0142,2025-03-21,郑凯,RD-2024-005,HD-W110,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.058,EG,5.8,DBTDL(二月桂酸二丁基锡),0.069,0.5,,DMF,33.8,85,3.0,67,80,3.63,33.2,127545,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0143,2026-07-23,吴静,RD-2025-003,HD-W111,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.067,BDO,8.0,TEDA(三乙烯二胺),0.024,1.0,,DMF,33.5,80,3.1,75,120,3.79,33.8,142728,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0144,2025-09-26,赵敏,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.064,EG,7.5,TEDA(三乙烯二胺),0.068,0,,DMF,33.5,77,1.6,64,80,3.74,32.9,128812,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2024-0145,2024-12-14,林霞,RD-2025-003,HD-W111,对比验证,聚己二酸乙二醇酯二醇(PEA-2000),100,IPDI,1.067,EG,7.6,SnOct(辛酸亚锡),0.038,0,,DMF,33.5,84,1.7,73,100,3.68,33.1,129930,微浊,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0146,2025-10-25,郑凯,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.075,HDO,7.8,SnOct(辛酸亚锡),0.08,0.5,,DMF,33.5,75,1.8,70,60,4.23,33.4,105044,无色透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2025-0147,2025-07-08,孙丽,RD-2025-003,HD-W111,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.026,EG,2.6,TEDA(三乙烯二胺),0.046,1.0,,DMF,33.5,75,2.3,66,60,2.35,33.5,160825,微黄透明,模量偏离目标窗口，需调整R值或多元醇,部分达标,
EXP-2026-0148,2026-06-04,李强,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.036,HDO,2.9,TEDA(三乙烯二胺),0.012,0.5,,DMF,33.5,77,2.2,68,80,2.73,33.1,119561,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0149,2024-10-20,朱军,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,TDI-80,1.078,EG,8.5,DBTDL(二月桂酸二丁基锡),0.056,1.0,,DMF,33.5,81,1.8,56,80,4.15,34.2,160990,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2024-0150,2024-12-11,王芳,RD-2025-003,HD-W111,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.051,BDO,4.2,DBTDL(二月桂酸二丁基锡),0.071,1.5,,DMF,33.5,85,1.7,70,100,3.2,32.7,136715,微黄透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0151,2025-08-29,周涛,RD-2025-003,HD-W111,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.036,BDO,3.4,DBTDL(二月桂酸二丁基锡),0.058,0,,DMF,33.5,84,1.9,74,80,2.77,33.4,148384,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0152,2025-08-08,赵敏,RD-2025-003,HD-W111,对比验证,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.029,BDO,2.4,DBTDL(二月桂酸二丁基锡),0.072,1.0,,DMF,33.5,83,3.1,72,60,2.53,33.4,133603,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0153,2025-04-09,陈立,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,H12MDI,1.056,BDO,5.4,TEDA(三乙烯二胺),0.07,1.0,,DMF,33.5,80,3.0,61,80,3.49,33.8,127663,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0154,2025-10-16,王芳,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,IPDI,1.042,BDO,3.5,SnOct(辛酸亚锡),0.058,1.5,,DMF,33.5,82,2.1,66,120,2.99,33.6,134342,微黄透明,粘度异常，复测并排查水分,未达标,
EXP-2026-0155,2026-04-02,朱军,RD-2025-003,HD-W111,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.035,BDO,2.9,SnOct(辛酸亚锡),0.029,1.0,,DMF,33.5,85,2.6,60,80,2.72,33.7,141576,微浊,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2024-0156,2024-11-17,孙丽,RD-2025-003,HD-W111,DOE,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.01,BDO,0.9,DBTDL(二月桂酸二丁基锡),0.074,1.0,,DMF,33.5,82,3.3,68,120,1.8,34.2,158979,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,部分达标,
EXP-2025-0157,2025-06-13,王芳,RD-2025-003,HD-W111,配方筛选,聚己内酯二醇(PCL-2000),100,MDI,1.091,BDO,9.4,TEDA(三乙烯二胺),0.04,1.0,,DMF,33.5,85,2.3,62,60,4.37,34.3,153268,微黄透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2025-0158,2025-03-29,郑凯,RD-2025-003,HD-W111,工艺优化,聚丙二醇(PPG-2000),100,MDI,1.06,EG,5.2,DBTDL(二月桂酸二丁基锡),0.047,0.5,,DMF,33.5,80,2.8,61,100,3.67,33.4,140887,无色透明,模量偏离目标窗口，需调整R值或多元醇,未达标,
EXP-2026-0159,2026-04-08,郭燕,RD-2025-003,HD-W111,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.063,HDO,7.1,TEDA(三乙烯二胺),0.016,1.5,,DMF,33.5,79,2.3,68,120,3.54,32.3,145991,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0160,2025-06-22,王芳,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.043,EG,3.9,DBTDL(二月桂酸二丁基锡),0.025,0.5,,DMF,33.5,83,1.5,56,60,3.01,33.2,128022,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0161,2025-12-25,何斌,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.056,BDO,6.6,DBTDL(二月桂酸二丁基锡),0.071,1.0,,DMF,33.5,79,3.0,66,60,3.33,32.5,130227,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2025-0162,2025-08-05,何斌,RD-2025-003,HD-W111,工艺优化,聚四氢呋喃醚二醇(PTMEG-2000),100,TDI-80,1.077,BDO,7.0,DBTDL(二月桂酸二丁基锡),0.017,1.5,,DMF,33.5,77,2.4,56,60,4.13,33.4,132092,无色透明,粘度异常，复测并排查水分,未达标,
EXP-2025-0163,2025-05-20,李强,RD-2025-003,HD-W111,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.069,BDO,8.2,SnOct(辛酸亚锡),0.067,0,,DMF,33.5,81,2.2,72,80,3.83,33.6,149195,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0164,2026-03-25,何斌,RD-2025-003,HD-W111,配方筛选,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.021,BDO,2.0,TEDA(三乙烯二胺),0.065,1.5,,DMF,33.5,85,3.1,61,60,2.19,33.6,148599,微黄透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0165,2026-02-08,赵敏,RD-2026-002,HD-W112,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.032,EG,3.4,DBTDL(二月桂酸二丁基锡),0.051,0,,DMF,34.5,85,2.0,60,80,2.58,34.6,105135,无色透明,配方满足目标窗口，建议放大,达标,
EXP-2026-0166,2026-05-17,赵敏,RD-2024-006,HD-W112,放大确认,聚四氢呋喃醚二醇(PTMEG-2000),100,MDI,1.04,BDO,4.6,DBTDL(二月桂酸二丁基锡),0.035,0,,DMF,34.5,80,3.5,55,80,2.92,33.9,109622,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0167,2026-06-26,赵敏,RD-2026-002,HD-W112,DOE,聚己二酸乙二醇酯二醇(PEA-2000),100,HDI,1.01,BDO,0.9,SnOct(辛酸亚锡),0.02,1.5,,DMF,34.5,83,2.8,66,100,1.8,35.1,109380,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2025-0168,2025-03-02,郭燕,RD-2026-002,HD-W112,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,MDI,1.01,EG,1.1,DBTDL(二月桂酸二丁基锡),0.022,0,,DMF,34.5,77,2.2,64,60,1.8,34.7,106223,无色透明,耐水解不足，考虑换PCDL或加抗水解剂,未达标,
EXP-2026-0169,2026-01-03,吴静,RD-2024-006,HD-W112,配方筛选,聚己二酸乙二醇酯二醇(PEA-2000),100,IPDI,1.027,BDO,3.1,DBTDL(二月桂酸二丁基锡),0.032,0,,DMF,34.5,73,3.1,69,120,2.35,34.8,102902,微黄透明,配方满足目标窗口，建议放大,达标,
